director_id,movie_id,person_id
954,875,13659
955,875,15108
956,875,151
957,876,-
958,877,4305
959,878,14278
9,879,-
961,8,-
962,881,6903
963,882,-
964,883,19373
965,883,2693
966,884,-
967,3348,-
968,885,1612
969,886,-
9,887,16186
971,888,-
972,889,1985
973,8,4704
974,891,-
975,892,17958
976,893,-
977,894,16017
978,895,-
979,896,17738
9,897,-
981,898,13269
982,899,-
983,9,17556
984,901,133
985,902,-
986,903,-
987,904,-
988,905,15795
989,906,-
9,2584,-
991,907,7039
992,908,-
993,909,4541
994,9,10942
995,911,6014
996,912,17581
997,913,-
998,914,-
999,915,-
10,916,-
1001,917,115
1002,918,14606
1003,919,-
1004,9,11289
1005,921,408
1006,922,12319
1007,923,15746
1008,924,-
1009,925,13269
10,926,19289
1011,927,-
1012,928,58
1013,929,-
1014,9,-
1015,931,12965
1016,932,-
1017,933,-
1018,934,-
1019,935,-
10,936,20565
1021,937,16442
1022,938,11925
1023,939,-
1024,9,-
1025,941,4541
1026,942,7689
1027,943,5292
1028,944,-
1029,945,-
10,946,-
1031,947,-
1032,948,-
1033,949,-
1034,9,-
1035,951,1569
1036,952,115
1037,953,8836
1038,954,20579
1039,955,2033
10,956,-
1041,957,-
1042,958,-
1043,27,-
1044,959,3131
1045,9,16103
1046,961,21091
1047,962,-
1048,963,7092
1049,964,32
10,964,4245
1051,965,15254
1052,966,-
1053,967,2299
1054,967,1246
1055,968,-
1056,2465,-
1057,969,20573
1058,9,125
1059,971,-
10,972,-
1061,973,17033
1062,974,17011
1063,975,19427
1064,976,18144
1065,977,-
1066,978,17116
1067,979,20253
1068,9,9612
1069,981,9871
10,982,-
1071,983,1314
1072,984,8478
1073,984,16751
1074,985,8712
1075,986,13009
1076,987,-
1077,988,-
1078,989,10544
1079,9,9602
10,5,5097
1081,991,5097
1082,992,3455
1083,993,17378
1084,994,243
1085,995,4156
1086,996,13458
1087,997,14568
1088,998,-
1089,999,-
10,10,13458
1091,1001,3077
1092,1002,19095
1093,1003,-
1094,1004,12328
1095,1005,-
1096,1006,18731
1097,1007,5836
1098,1008,-
1099,1009,14907
11,10,-
1101,1011,1087
1102,1012,13794
1103,1013,3576
1104,1014,-
1105,1015,-
1106,1016,14622
1107,1017,-
1108,1018,12893
1109,1019,-
11,10,-
1111,1021,-
1112,1022,447
1113,1023,-
1114,1024,-
1115,1025,175
1116,1026,-
1117,1027,20102
1118,1028,-
1119,1029,3452
11,10,-
1121,1031,-
1122,1032,-
1123,1033,11317
1124,1034,-
1125,1035,-
1126,1036,1603
1127,3824,1603
1128,1037,-
1129,1038,-
11,1039,16527
1131,1039,20957
1132,10,140
1133,1041,-
1134,1042,-
1135,1043,6048
1136,1044,11893
1137,1045,20886
1138,1046,14533
1139,1047,-
11,1048,621
1141,1049,-
1142,10,-
1143,1051,-
1144,1052,7187
1145,1053,1621
1146,1054,6616
1147,1055,-
1148,1056,-
1149,1057,1142
11,1058,-
1151,1059,-
1152,10,-
1153,1061,4128
1154,1062,-
1155,1063,-
1156,1064,13846
1157,1065,-
1158,1066,3813
1159,1067,-
11,1068,1325
1161,1069,20546
1162,10,-
1163,1071,-
1164,1072,-
1165,1073,2685
1166,1074,-
1167,1075,-
1168,1076,1896
1169,1077,20685
11,1078,-
1171,1079,-
1172,10,699
1173,1081,173
1174,1082,-
1175,1083,106
1176,1084,-
1177,1085,19593
1178,1086,-
1179,1087,3633
11,1088,21009
1181,1089,102
1182,10,19164
1183,1091,-
1184,1092,-
1185,1093,6392
1186,1094,-
1187,1095,-
1188,1096,12884
1189,1097,-
11,1098,4111
1191,1099,15088
1192,11,15232
1193,1101,16148
1194,1102,14757
1195,1103,-
1196,1104,-
1197,1105,-
1198,1,175
1199,1106,175
12,1107,4669
1201,1108,-
1202,1109,-
1203,11,14067
1204,1111,-
1205,1112,20525
1206,1113,17162
1207,1114,10801
1208,1115,17525
1209,1116,95
12,1117,-
1211,1118,9997
1212,1119,10503
1213,11,6392
1214,1121,2931
1215,1122,-
1216,1123,-
1217,1124,-
1218,1125,-
1219,1126,9997
12,1127,-
1221,1128,-
1222,1129,-
1223,11,-
1224,1131,5429
1225,1131,2719
1226,1131,70
1227,1132,-
1228,1133,-
1229,1134,-
12,1135,9115
1231,1136,-
1232,1137,-
1233,1138,-
1234,1139,-
1235,11,7533
1236,1141,9732
1237,1142,-
1238,1143,2726
1239,1144,-
12,1145,12685
1241,1146,-
1242,1147,-
1243,1148,-
1244,1149,15547
1245,11,-
1246,1151,-
1247,1152,13704
1248,1153,4716
1249,1154,-
12,1155,-
1251,1156,4222
1252,248,18269
1253,1157,18269
1254,1158,1084
1255,1159,14772
1256,1159,3403
1257,11,-
1258,1161,-
1259,1162,20128
12,1163,-
1261,1164,-
1262,4576,-
1263,1165,19263
1264,1166,206
1265,1167,-
1266,1168,267
1267,1169,-
1268,11,-
1269,1171,-
12,1172,-
1271,1173,13458
1272,1174,-
1273,1175,-
1274,1176,-
1275,1177,19412
1276,1178,-
1277,1179,-
1278,11,13672
1279,1181,8463
12,1182,-
1281,1183,-
1282,1184,10665
1283,1184,5253
1284,1185,-
1285,1186,-
1286,1187,-
1287,1188,6308
1288,1189,-
1289,11,-
12,1191,12985
1291,1192,10422
1292,1193,-
1293,1194,1727
1294,1195,-
1295,1196,-
1296,1197,20171
1297,1197,5429
1298,1198,1405
1299,1199,16554
13,12,-
1301,1201,-
1302,1202,-
1303,1203,205
1304,1204,-
1305,1205,14941
1306,1206,2428
1307,1207,-
1308,1208,14941
1309,1209,-
13,12,7039
1311,1211,-
1312,1212,11298
1313,1213,3634
1314,1214,284
1315,1215,-
1316,1216,-
1317,1217,3589
1318,1218,19369
1319,1219,16002
13,12,2261
1321,5851,2261
1322,1221,21091
1323,1222,9321
1324,2507,9321
1325,1223,-
1326,1224,-
1327,1225,-
1328,1226,19088
1329,1227,-
13,1228,4768
1331,1229,105
1332,12,-
1333,1231,18969
1334,1232,3193
1335,1233,-
1336,1234,-
1337,1235,-
1338,1236,9043
1339,1237,-
13,1238,8855
1341,1238,4666
1342,1239,-
1343,12,-
1344,1241,-
1345,1242,17835
1346,1243,-
1347,1244,11556
1348,1245,-
1349,1246,9273
13,1246,12685
1351,1247,19412
1352,1248,2015
1353,1249,-
1354,12,18166
1355,1251,-
1356,1252,-
1357,1253,-
1358,1254,-
1359,1255,13105
13,1256,15612
1361,1257,10819
1362,1258,73
1363,1259,8137
1364,12,135
1365,1261,-
1366,1262,-
1367,1263,-
1368,1264,
1369,1265,12319
13,1266,1388
1371,1267,-
1372,1268,9731
1373,1268,17885
1374,1268,7085
1375,1269,-
1376,12,-
1377,1271,-
1378,1272,43
1379,1273,6852
13,1274,19977
1381,1275,-
1382,1276,-
1383,1277,-
1384,1278,343
1385,1279,-
1386,12,2271
1387,1281,-
1388,1282,-
1389,1283,-
13,1284,20128
1391,1285,13282
1392,1286,7245
1393,1287,19507
1394,1288,16615
1395,1289,-
1396,12,-
1397,5535,-
1398,1291,3063
1399,1292,-
14,1293,1169
1401,1293,10343
1402,1294,-
1403,1295,16943
1404,1296,-
1405,1297,10763
1406,1298,20178
1407,1299,19
1408,13,-
1409,1301,-
14,1302,-
1411,1303,4705
1412,1304,-
1413,1305,1164
1414,1305,17768
1415,1305,100
1416,1305,5207
1417,1306,-
1418,1307,-
1419,1308,-
14,1309,15944
1421,13,19831
1422,1311,-
1423,803,19752
1424,1312,19752
1425,803,1082
1426,1312,1082
1427,1313,-
1428,1314,7261
1429,1315,14911
14,1316,-
1431,1317,473
1432,1317,18063
1433,1318,11081
1434,1319,19404
1435,13,5149
1436,1321,20691
1437,1322,-
1438,1323,-
1439,5461,-
14,1324,83
1441,1325,36
1442,1326,-
1443,1327,-
1444,1328,-
1445,1329,11804
1446,13,-
1447,1331,12959
1448,1332,-
1449,1333,-
14,1334,-
1451,1335,19623
1452,1336,5608
1453,1337,19835
1454,1337,10293
1455,1338,-
1456,1339,-
1457,13,-
1458,1341,6085
1459,1342,-
14,1343,19
1461,1344,13482
1462,1345,-
1463,1346,9519
1464,1347,5648
1465,1348,-
1466,1349,-
1467,13,10609
1468,1351,48
1469,1352,171
14,1353,17961
1471,1353,15711
1472,1354,-
1473,1355,177
1474,1356,6377
1475,1357,9
1476,1358,-
1477,1359,97
1478,13,2326
1479,1361,2889
14,1363,14324
1481,1364,3991
1482,1365,-
